Key,Value,Custom,Group
mario,Mario,Mario,
donkey,Donkey Kong,Donkey Kong,
link,Link,Link,
samus,Samus,Samus,
samusd,Dark Samus,Dark Samus
yoshi,Yoshi,Yoshi,
kirby,Kirby,Kirby,
fox,Fox,Fox,
pikachu,Pikachu,Pikachu,
luigi,Luigi,Luigi,
ness,Ness,Ness,
captain,Captain Falcon,Captain Falcon,
purin,Jigglypuff,Jigglypuff,
peach,Peach,Peach,
daisy,Daisy,Daisy,
koopa,Bowser,Bowser,
koopag,Giga Bowser,Giga Bowser,
nana,Ice Climbers Nana,Nana,Ice Climers
popo,Ice Climbers Popo,Popo,Ice Climers
sheik,Sheik,Sheik,
zelda,Zelda,Zelda,
mariod,Dr. Mario,Dr. Mario,
pichu,Pichu,Pichu,
falco,Falco,Falco,
marth,Marth,Marth,
lucina,Lucina,Lucina,
younglink,Young Link,Young Link,
ganon,Ganondorf,Ganondorf,
mewtwo,Mewtwo,Mewtwo,
roy,Roy,Roy,
chrom,Chrom,Chrom,
gamewatch,Mr. Game & Watch,Mr. Game & Watch,
metaknight,Meta Knight,Meta Knight,
pit,Pit,Pit,
pitb,Dark Pit,Dark Pit,
szerosuit,Zero Suit Samus,ZSS,
wario,Wario,Wario,
snake,Snake,Snake,
ike,Ike,Ike,
ptrainer,Trainer,Trainer,Pkm
pzenigame,Squirtle,Squirtle,Pkm
pfushigisou,Ivysaur,Ivysaur,Pkm
plizardon,Charizard,Charizard,Pkm
diddy,Diddy Kong,Diddy Kong,
lucas,Lucas,Lucas,
sonic,Sonic,Sonic,
dedede,King Dedede,King Dedede,
pikmin,Olimar,Olimar,
lucario,Lucario,Lucario,
robot,R.O.B.,R.O.B.,
toonlink,Toon Link,Toon Link,
wolf,Wolf,Wolf,
murabito,Villager,Villager,
rockman,Mega Man,Mega Man,
wiifit,Wii Fit Trainer,Wii Fit Trainer,
rosetta,RosaLina & Luma,RosaLina,
littlemac,Little Mac,Little Mac,
gekkouga,Greninja,Greninja,
miifighter,Mii Brawler,Mii Brawler,
miiswordsman,Mii Swordfighter,Mii Swordfighter,
miigunner,Mii Gunner,Mii Gunner,
palutena,Palutena,Palutena,
pacman,Pac-man,Pac-man,
reflet,Robin,Robin,
shulk,Shulk,Shulk,
koopajr,Bowser JR.,Bowser JR.,
duckhunt,Duck Hunt,Duck Hunt,
ryu,Ryu,Ryu,
ken,Ken,Ken,
cloud,Cloud,Cloud,
kamui,Corrin,Corrin,
bayonetta,Bayonetta,Bayonetta,
inkling,Inkling,Inkling,
ridley,Ridley,Ridley,
simon,Simon,Simon,
richter,Richter,Richter,
krool,King K. Rool,King K. Rool,
shizue,Isabelle,Isabelle,
gaogaen,Incineroar,Incineroar,
packun,Piranha Plant,Piranha Plant,
jack,Joker,Joker,
brave,Hero,Hero,
buddy,Banjo & Kazooie,Banjo & Kazooie,
dolly,Terry,Terry,
master,Byleth,Byleth,
tantan,Min Min,Min Min,
pickel,Steve,Steve,
edge,Sephiroth,Sephiroth,
eflame,Pyra,Pyra,Aegis
element,Rex,Rex,
elight,Mythra,Mythra,Aegis
demon,Kazuya,Kazuya,
trail,Sora,Sora
