Key,Value,Custom,Group,Series,Alt,Gender
mario,Mario,Mario,,Super Mario,,False
donkey,Donkey Kong,Donkey Kong,,Donkey Kong,,False
link,Link,Link,,The Legend of Zelda,,False
samus,Samus,Samus,,Metroid,,False
samusd,Dark Samus,Dark Samus,,Metroid,,False
yoshi,Yoshi,Yoshi,,Super Mario,,False
kirby,Kirby,Kirby,,Kirby,,False
fox,Fox,Fox,,Star Fox,,False
pikachu,Pikachu,Pikachu,,Pokémon,,False
luigi,Luigi,Luigi,,Super Mario,,False
ness,Ness,Ness,,Earthbound,,False
captain,Captain Falcon,Captain Falcon,,F-Zero,Falcon,False
purin,Jigglypuff,Jigglypuff,,Pokémon,,False
peach,Peach,Peach,,Super Mario,,False
daisy,Daisy,Daisy,,Super Mario,,False
koopa,Bowser,Bowser,,Super Mario,,False
koopag,Giga Bowser,Giga Bowser,,Super Mario,Bowser,False
nana,Ice Climbers Nana,Nana,Ice Climbers,Ice Climbers,,False
popo,Ice Climbers Popo,Popo,Ice Climbers,Ice Climbers,,False
sheik,Sheik,Sheik,,The Legend of Zelda,,False
zelda,Zelda,Zelda,,The Legend of Zelda,,False
mariod,Dr. Mario,Dr. Mario,,Super Mario,Mario,False
pichu,Pichu,Pichu,,Pokémon,,False
falco,Falco,Falco,,Star Fox,,False
marth,Marth,Marth,,Fire Emblem,,False
lucina,Lucina,Lucina,,Fire Emblem,,False
younglink,Young Link,Young Link,,The Legend of Zelda,Link,False
ganon,Ganondorf,Ganondorf,,The Legend of Zelda,,False
mewtwo,Mewtwo,Mewtwo,,Pokémon,,False
roy,Roy,Roy,,Fire Emblem,,False
chrom,Chrom,Chrom,,Fire Emblem,,False
gamewatch,Mr. Game & Watch,Mr. Game & Watch,,Game & Watch,Game & Watch,False
metaknight,Meta Knight,Meta Knight,,Kirby,,False
pit,Pit,Pit,,Kid Icarus,,False
pitb,Dark Pit,Dark Pit,,Kid Icarus,,False
szerosuit,Zero Suit Samus,ZSS,,Metroid,Samus,False
wario,Wario,Wario,,WarioWare,,False
snake,Snake,Snake,,Metal Gear,,False
ike,Ike,Ike,,Fire Emblem,,False
ptrainer,Trainer,Trainer,Pkm,Pokémon,Pokemon Trainer,True
pzenigame,Squirtle,Squirtle,Pkm,Pokémon,,False
pfushigisou,Ivysaur,Ivysaur,Pkm,Pokémon,,False
plizardon,Charizard,Charizard,Pkm,Pokémon,,False
diddy,Diddy Kong,Diddy Kong,,Donkey Kong,,False
lucas,Lucas,Lucas,,Earthbound,,False
sonic,Sonic,Sonic,,Sonic the Hedgehog,,False
dedede,King Dedede,King Dedede,,Kirby,,False
pikmin,Olimar,Olimar,,Pikmin,,False
lucario,Lucario,Lucario,,Pokémon,,False
robot,R.O.B.,R.O.B.,,R.O.B,ROB,False
toonlink,Toon Link,Toon Link,,The Legend of Zelda,Link,False
wolf,Wolf,Wolf,,Star Fox,,False
murabito,Villager,Villager,,Animal Crossing,,True
rockman,Mega Man,Mega Man,,Mega Man,,False
wiifit,WiiFit Trainer,Wii Fit Trainer,,Wii,Wii Fit,True
rosetta,Rosalina & Luma,Rosalina,,Super Mario,,False
littlemac,Little Mac,Little Mac,,Punch-Out,Mac,False
gekkouga,Greninja,Greninja,,Pokémon,,False
miifighter,Mii Brawler,Mii Brawler,,Mii,Brawler,True
miiswordsman,Mii Swordfighter,Mii Swordfighter,,Mii,Swordsman,True
miigunner,Mii Gunner,Mii Gunner,,Mii,Gunner,True
palutena,Palutena,Palutena,,Kid Icarus,,False
pacman,Pac-man,Pac-man,,Pac-Man,,False
reflet,Robin,Robin,,Fire Emblem,,True
shulk,Shulk,Shulk,,Xenoblade,,False
koopajr,Bowser JR.,Bowser JR.,,Super Mario,Bowser,False
duckhunt,Duck Hunt,Duck Hunt,,Duck Hunt,,False
ryu,Ryu,Ryu,,Street Fighter,,False
ken,Ken,Ken,,Street Fighter,,False
cloud,Cloud,Cloud,,Final Fantasy,,False
kamui,Corrin,Corrin,,Fire Emblem,,True
bayonetta,Bayonetta,Bayonetta,,Bayonetta,,False
inkling,Inkling,Inkling,,Splatoon,,True
ridley,Ridley,Ridley,,Metroid,,False
simon,Simon,Simon,,Castlevania,,False
richter,Richter,Richter,,Castlevania,,False
krool,King K. Rool,King K. Rool,,Donkey Kong,,False
shizue,Isabelle,Isabelle,,Animal Crossing,,False
gaogaen,Incineroar,Incineroar,,Pokémon,,False
packun,Piranha Plant,Piranha Plant,,Super Mario,Piranha,False
jack,Joker,Joker,,Persona,,False
brave,Hero,Hero,,Dragon Quest,,False
buddy,Banjo & Kazooie,Banjo & Kazooie,,Banjo-Kazooie,,False
dolly,Terry,Terry,,Fatal Fury,,False
master,Byleth,Byleth,,Fire Emblem,,True
tantan,Min Min,Min Min,,Arms,,False
pickel,Steve,Steve,,Minecraft,,True
edge,Sephiroth,Sephiroth,,Final Fantasy,,False
eflame,Pyra,Pyra,Aegis,Xenoblade,Homura,False
element,Rex,Rex,,Xenoblade,,False
elight,Mythra,Mythra,Aegis,Xenoblade,Hikari,False
demon,Kazuya,Kazuya,,Tekken,,False
trail,Sora,Sora,,Kingdom Hearts,,False
