Key,Value,Series
mario_3dland,3D Land,Mario
75m,75 m,Donkey Kong
fe_arena,Arena Ferox,Fire Emblem
balloonfight,Balloon Fight,Balloon Fight
battlefield,Battlefield,Super Smash Bros.
battlefield_l,Big Battlefield,Super Smash Bros.
fzero_bigblue,Big Blue,F-Zero
punchoutw,Boxing Ring,Punch-Out!
punchoutsb,Boxing Ring,Punch-Out!
zelda_oldin,Bridge of Eldin,The Legend of Zelda
metroid_zebesdx,Brinstar,Metroid
metroid_kraid,Brinstar Depths,Metroid
fe_siege,Castle Siege,Fire Emblem
xeno_alst,Cloud Sea of Alrest,Xenoblade
fe_colloseum,Coliseum,Fire Emblem
fox_corneria,Corneria,Star Fox
mario_dolpic,Delfino Plaza,Mario
pikmin_planet,Distant Planet,Pikmin
dracula_castle,Dracula's Castle,Castlevania
kirby_pupupu64,Dream Land,Kirby
kirby_gameboy,Dream Land GB,Kirby
duckhunt,Duck Hunt,Duck Hunt
kart_circuitx,Figure-8 Circuit,Mario
end,Final Destination,Super Smash Bros.
streetpass,Find Mii,Find Mii / Streetpass Quest
flatzonex,Flat Zone X,Game & Watch
kirby_fountain,Fountain of Dreams,Kirby
mother_fourside,Fourside,Earthbound
metroid_orpheon,Frigate Orpheon,Metroid
wario_gamer,Gamer,Wario
pikmin_garden,Garden of Hope,Pikmin
fe_shrine,Garreg Mach Monastery,Fire Emblem
xeno_gaur,Gaur Plains,Xenoblade
zelda_gerudo,Gerudo Valley,The Legend of Zelda
mario_newbros2,Golden Plains,Mario
zelda_greatbay,Great Bay,The Legend of Zelda
zelda_tower,Great Plateau Tower,The Legend of Zelda
kirby_greens,Green Greens,Kirby
sonic_greenhill,Green Hill Zone,Sonic the Hedgehog
kirby_halberd,Halberd,Kirby
plankton,Hanenbow,Electroplankton
trail_castle,Hollow Bastion,Kingdom Hearts
zelda_hyrule,Hyrule Castle,The Legend of Zelda
dk_lodge,Jungle Japes,Donkey Kong
poke_kalos,Kalos Pokemon League,Pokémon
dolly_stadium,King of Fighters Stadium,Fatal Fury
dk_waterfall,Kongo Falls,Donkey Kong
dk_jungle,Kongo Jungle,Donkey Kong
nintendogs,Living Room,Nintendogs
luigimansion,Luigi's Mansion,Mario
fox_lylatcruise,Lylat Cruise,F-Zero
mother_magicant,Magicant,Earthbound
mariobros,Mario Bros.,Mario
kart_circuitfor,Mario Circuit,Mario
mario_galaxy,Mario Galaxy,Mario
jack_mementoes,Mementos,Persona
ff_midgar,Midgar,Final Fantasy
pickel_world,Minecraft World,Minecraft
demon_dojo,Mishima Dojo,Tekken
spla_parking,Moray Towers,Splatoon
mario_past64,Mushroom Kingdom,Mario
mario_pastusa,Mushroom Kingdom II,Mario
mario_uworld,Mushroom Kingdom U,Mario
mario_pastx,Mushroomy Kingdom,Mario
fzero_mutecity3ds,Mute City SNES,F-Zero
mario_odyssey,New Donk City Hall,Mario
mother_newpork,New Pork City,Earthbound
metroid_norfair,Norfair,Metroid
ff_cave,Northern Cave,Final Fantasy
mother_onett,Onett,Earthbound
pac_land,Pac-Land,Pac-Man
